offer_id,token,position,pos_tag,token_count,label
6,🇨🇦,26,z0,94,f
6,$,29,zm,95,n
6,"4,859",30,z0,96,p
6,!,35,fat,97,n
6,(,37,z0,98,n
6,Por,38,sp000,99,n
6,$,29,zm,100,n
6,"1,711",43,dn0000,101,n
6,agrega,49,vmip000,102,n
6,3,56,dn0000,103,n
6,noches,58,nc0p000,104,n
6,de,65,sp000,105,n
6,Hostal,68,np00000,106,n
6,con,75,sp000,107,n
6,Desayunos,79,np00000,108,n
6,),88,f0,109,n
7,¡,0,faa,110,n
7,CDMX,1,np00000,111,o
7,a,6,sp000,112,s
7,Hawái,8,np00000,113,d
7,$,14,zm,114,n
7,"8,140",15,dn0000,115,p
7,!,20,fat,116,n
8,¡,0,faa,117,n
8,CDMX,1,np00000,118,o
8,a,6,sp000,119,s
8,Bogotá,8,np00000,120,d
8,🇨🇴,15,np00000,121,f
8,$,18,zm,122,n
8,"4,659",19,z0,123,p
8,!,24,fat,124,n
9,¡,0,faa,125,n
9,NYC,1,np00000,126,o
9,a,5,sp000,127,s
9,Irlanda,7,np00000,128,d
9,$,15,zm,129,n
9,"4,354",16,dn0000,130,p
9,!,21,fat,131,n
9,Directos,23,aq0000,132,n
10,¡,0,faa,133,n
10,CUN,1,np00000,134,o
10,a,5,sp000,135,s
10,Puerto,7,np00000,136,d
10,Rico,14,np00000,137,d
10,$,19,zm,138,n
10,"3,296",20,dn0000,139,p
10,!,25,fat,140,n
10,(,27,nc0s000,141,n
10,Agrega,28,vmip000,142,n
10,3,20,rg,143,n
10,noches,37,nc0p000,144,n
10,de,44,sp000,145,n
10,hotel,47,nc0s000,146,n
10,por,53,sp000,147,n
10,$,19,zm,148,n
10,"2,778",58,dn0000,149,n
10,),63,nc0s000,150,n
11,¡,0,faa,151,n
11,CDMX,1,np00000,152,o
11,a,6,sp000,153,s
11,Phuket,8,np00000,154,d
11,",",14,fc,155,d
11,Tailandia,16,np00000,156,d
11,–,26,fg,157,n
11,$,28,zm,158,n
11,"14,442",29,z0,159,p
11,!,35,fat,160,n
11,(,37,z0,161,n
11,Por,38,sp000,162,n
11,$,28,zm,163,n
11,"2,216",43,dn0000,164,n
11,agrega,49,vmip000,165,n
11,5,56,dn0000,166,n
11,noches,58,nc0p000,167,n
11,de,65,sp000,168,n
11,hotel,68,nc0s000,169,n
11,),73,nc0s000,170,n
12,¡,0,faa,171,n
12,CUN,1,np00000,172,o
12,a,5,sp000,173,s
12,Frankfurt,7,np00000,174,d
12,$,17,zm,175,n
12,"10,693",18,dn0000,176,p
12,!,24,fat,177,n
12,Directos,26,aq0000,178,n
13,¡,0,faa,179,n
13,CDMX,1,np00000,180,o
13,a,6,sp000,181,s
13,Buenos,8,np00000,182,d
13,Aires,15,np00000,183,d
13,",",20,fc,184,d
13,Argentina,22,np00000,185,d
13,–,32,fg,186,n
13,$,34,zm,187,n
13,"11,444",35,dn0000,188,p
13,!,41,fat,189,n
13,(,43,z0,190,n
13,Por,44,sp000,191,n
13,$,34,nc0p000,192,n
13,"3,520",49,z0,193,n
13,agrega,55,vmip000,194,n
13,10,62,dn0000,195,n
13,noches,65,nc0p000,196,n
13,de,72,sp000,197,n
13,hotel,75,nc0s000,198,n
13,),80,nc0s000,199,n
14,¡,0,faa,200,n
14,Todo,1,di0000,201,o
14,México,6,np00000,202,o
14,a,13,sp000,203,s
14,París,15,np00000,204,d
14,",",20,fc,205,n
14,regresa,22,vmip000,206,n
14,desde,30,sp000,207,n
14,Roma,36,np00000,208,n
14,–,41,fg,209,n
14,$,43,zm,210,n
14,"12,440",44,dn0000,211,p
14,!,50,fat,212,n
14,(,52,z0,213,n
14,Por,53,sp000,214,n
14,$,43,zm,215,n
14,"4,407",58,dn0000,216,n
14,agrega,64,vmip000,217,n
14,7,62,dn0000,218,n
14,noches,73,nc0p000,219,n
14,de,30,sp000,220,n
14,Hotel,83,np00000,221,n
14,),88,f0,222,n
15,¡,0,faa,223,n
15,LA,1,pp000000,224,o
15,a,4,sp000,225,s
15,Seúl,6,np00000,226,d
15,",",10,fc,227,n
15,regresa,12,vmip000,228,n
15,desde,20,sp000,229,n
15,Tokio,26,np00000,230,n
15,🇯🇵,32,np00000,231,f
15,$,35,zm,232,n
15,"8,607",36,dn0000,233,p
15,!,41,fat,234,n
15,(,43,z0,235,n
15,Por,44,sp000,236,n
15,$,35,nc0p000,237,n
15,"3,147",49,z0,238,n
15,agrega,55,vmip000,239,n
15,11,62,dn0000,240,n
15,noches,65,nc0p000,241,n
15,de,20,sp000,242,n
15,hostal,75,nc0s000,243,n
15,),81,nc0s000,244,n
16,¡,0,faa,245,n
16,CDMX,1,np00000,246,o
16,",",5,fc,247,o
16,MTY,7,np00000,248,o
16,",",5,fc,249,o
16,GDL,12,np00000,250,o
16,y,16,cc,251,o
16,Silao,18,np00000,252,o
16,a,21,sp000,253,s
16,Belice,26,np00000,254,d
16,!,32,fat,255,n
16,(,34,z0,256,n
16,Agrega,35,vmip000,257,n
16,7,42,dn0000,258,n
16,noches,44,nc0p000,259,n
16,de,51,sp000,260,n
16,hotel,54,nc0s000,261,n
16,por,60,sp000,262,n
16,$,64,zm,263,n
16,"2,113",65,dn0000,264,n
16,),70,nc0s000,265,n
17,¡,0,faa,266,n
17,CDMX,1,np00000,267,o
17,a,6,sp000,268,s
17,Tailandia,8,np00000,269,d
17,$,18,zm,270,n
17,"10,268",19,dn0000,271,p
17,!,25,fat,272,n
17,Sin,27,sp000,273,n
17,escala,31,nc0s000,274,n
17,en,38,sp000,275,n
17,EE.UU,41,np00000,276,n
17,(,47,nc0s000,277,n
17,Agrega,48,vmip000,278,n
17,10,19,dn0000,279,n
17,noches,58,nc0p000,280,n
17,de,65,sp000,281,n
17,hotel,68,nc0s000,282,n
17,boutique,74,vmsp000,283,n
17,por,83,sp000,284,n
17,$,18,zm,285,n
17,"5,462",88,dn0000,286,n
17,),93,nc0s000,287,n
18,¡,0,faa,288,n
18,CDMX,1,np00000,289,o
18,a,6,sp000,290,s
18,Santiago,8,np00000,291,d
18,+,17,cc,292,d
18,Buenos,19,aq0000,293,d
18,Aires,26,np00000,294,d
18,$,32,zm,295,n
18,"11,943",33,dn0000,296,p
18,!,39,fat,297,n
18,(,41,nc0s000,298,n
18,Agrega,42,vmip000,299,n
18,7,49,dn0000,300,n
18,noches,51,nc0p000,301,n
18,de,58,sp000,302,n
18,Hotel,61,np00000,303,n
18,por,67,sp000,304,n
18,$,32,nc0p000,305,n
18,"2,722",72,dn0000,306,n
18,),77,nc0s000,307,n
19,¡,0,faa,308,n
19,CDMX,1,np00000,309,o
19,a,6,sp000,310,s
19,Rio,8,np00000,311,d
19,de,12,sp000,312,d
19,Janeiro,15,np00000,313,d
19,–,23,fg,314,n
19,$,25,zm,315,n
19,"9,796",26,dn0000,316,p
19,!,31,fat,317,n
19,(,33,z0,318,n
19,Por,34,sp000,319,n
19,$,25,zm,320,n
19,"2,152",39,dn0000,321,n
19,agrega,45,vmip000,322,n
19,6,30,dn0000,323,n
19,noches,54,nc0p000,324,n
19,de,12,sp000,325,n
19,hotel,64,nc0s000,326,n
19,con,70,sp000,327,n
19,desayunos,74,nc0p000,328,n
19,),83,nc0s000,329,n
20,¡,0,faa,330,n
20,CDMX,1,np00000,331,o
20,a,6,sp000,332,s
20,Chile,8,np00000,333,d
20,$,14,zm,334,n
20,"8,938",15,dn0000,335,p
20,!,20,fat,336,n
20,(,22,z0,337,n
20,Agrega,23,vmip000,338,n
20,9,17,dn0000,339,n
20,noches,32,nc0p000,340,n
20,de,39,sp000,341,n
20,hotel,42,nc0s000,342,n
20,por,48,sp000,343,n
20,$,14,zm,344,n
20,"5,933",53,dn0000,345,n
20,),58,nc0s000,346,n
21,¡,0,faa,347,n
21,Todo,1,di0000,348,o
21,México,6,np00000,349,o
21,a,13,sp000,350,s
21,París,15,np00000,351,d
21,$,21,zm,352,n
21,"12,281",22,dn0000,353,p
21,!,28,fat,354,n
21,Temporada,30,nc0s000,355,n
21,alta,40,aq0000,356,n
21,y,45,cc,357,n
21,sin,47,sp000,358,n
21,escala,51,nc0s000,359,n
21,en,58,sp000,360,n
21,EE.UU,61,np00000,361,n
21,(,67,nc0s000,362,n
21,Agrega,68,vmip000,363,n
21,7,75,dn0000,364,n
21,noches,77,nc0p000,365,n
21,de,84,sp000,366,n
21,hotel,87,nc0s000,367,n
21,por,33,sp000,368,n
21,$,21,zm,369,n
21,"6,392",98,dn0000,370,n
21,),103,nc0s000,371,n
22,¡,0,faa,372,n
22,Todo,1,di0000,373,o
22,México,6,np00000,374,o
22,a,13,sp000,375,s
22,Europa,15,np00000,376,d
22,+,22,cc,377,d
22,Medio,24,dn0000,378,d
22,Oriente,30,np00000,379,d
22,$,38,zm,380,n
22,"16,140",39,dn0000,381,p
22,!,45,fat,382,n
22,Directos,47,aq0000,383,n
22,(,56,nc0s000,384,n
22,Italia,57,np00000,385,n
22,+,22,cc,386,n
22,Israel,66,np00000,387,n
22,+,22,cc,388,n
22,Turquía,75,np00000,389,n
22,),82,f0,390,n
23,¡,0,faa,391,n
23,MTY,1,vmm0000,392,o
23,a,5,sp000,393,s
23,Huatulco,7,np00000,394,d
23,–,16,fg,395,n
23,$,18,zm,396,n
23,902,19,dn0000,397,p
23,!,22,fat,398,n
23,(,24,z0,399,n
23,Por,25,sp000,400,n
23,$,18,zm,401,n
23,"2,282",30,dn0000,402,n
23,agrega,36,vmip000,403,n
23,4,43,dn0000,404,n
23,noches,45,nc0p000,405,n
23,de,52,sp000,406,n
23,hotel,55,nc0s000,407,n
23,),60,nc0s000,408,n
24,¡,0,faa,409,n
24,MTY,1,vmm0000,410,o
24,a,5,sp000,411,s
24,Cancún,7,np00000,412,d
24,–,14,fg,413,n
24,$,16,zm,414,n
24,907,17,dn0000,415,p
24,!,20,fat,416,n
24,(,22,z0,417,n
24,Por,23,sp000,418,n
24,$,16,zm,419,n
24,"1,180",28,dn0000,420,n
24,agrega,34,vmip000,421,n
24,4,41,dn0000,422,n
24,noches,43,nc0p000,423,n
24,de,50,sp000,424,n
24,hotel,53,nc0s000,425,n
24,),58,nc0s000,426,n
25,¡,0,faa,427,n
25,CUN,1,np00000,428,o
25,a,5,sp000,429,s
25,Holanda,7,np00000,430,d
25,$,15,zm,431,n
25,"8,885",16,dn0000,432,p
25,!,21,fat,433,n
25,Sin,23,sp000,434,n
25,escala,27,nc0s000,435,n
25,EE.UU,34,np00000,436,n
26,¡,0,faa,437,n
26,CDMX,1,np00000,438,o
26,a,6,sp000,439,s
26,Tuxtla,8,np00000,440,d
26,Gutiérrez,15,np00000,441,d
26,",",24,fc,442,d
26,Chiapas,26,np00000,443,d
26,–,34,fg,444,n
26,$,36,zm,445,n
26,"1,091",37,dn0000,446,p
26,!,42,fat,447,n
26,(,44,z0,448,n
26,Por,45,sp000,449,n
26,$,36,zm,450,n
26,525,50,dn0000,451,n
26,agrega,54,vmip000,452,n
26,3,61,dn0000,453,n
26,noches,63,nc0p000,454,n
26,de,70,sp000,455,n
26,hostal,73,nc0s000,456,n
26,con,80,sp000,457,n
26,desayunos,84,nc0p000,458,n
26,),93,nc0s000,459,n
27,¡,0,faa,460,n
27,CDMX,1,np00000,461,o
27,a,6,sp000,462,s
27,NYC,8,np00000,463,d
27,$,12,nc0p000,464,n
27,"3,457",13,rg,465,p
27,!,18,fat,466,n
27,Directos,20,aq0000,467,n
27,(,29,nc0s000,468,n
27,Agrega,30,vmip000,469,n
27,3,13,rg,470,n
27,noches,39,nc0p000,471,n
27,de,46,sp000,472,n
27,hostel,49,nc0s000,473,n
27,por,56,sp000,474,n
27,$,12,zm,475,n
27,"2,007",61,dn0000,476,n
27,),66,nc0s000,477,n
28,¡,0,faa,478,n
28,CDMX,1,np00000,479,o
28,a,6,sp000,480,s
28,Guatemala,8,np00000,481,d
28,$,18,zm,482,n
28,"3,452",19,dn0000,483,p
28,!,24,fat,484,n
28,Directos,26,aq0000,485,n
28,(,35,nc0s000,486,n
28,Agrega,36,vmip000,487,
28,3,19,rg,488,n
28,noches,45,nc0p000,489,n
28,de,52,sp000,490,n
28,hotel,55,nc0s000,491,n
28,por,61,sp000,492,n
28,$,18,zm,493,n
28,"1,735",66,dn0000,494,n
28,),71,nc0s000,495,n
29,¡,0,faa,496,n
29,Todo,1,di0000,497,o
29,México,6,np00000,498,o
29,a,13,sp000,499,s
29,Roma,15,np00000,500,d
29,🇮🇹,20,np00000,501,f
29,$,23,zm,502,n
29,"12,098",24,dn0000,503,p
29,!,30,fat,504,n
29,(,32,z0,505,n
29,Por,33,sp000,506,n
29,$,23,zm,507,n
29,"3,360",38,dn0000,508,n
29,agrega,44,vmip000,509,n
29,8,29,dn0000,510,n
29,noches,53,nc0p000,511,n
29,de,60,sp000,512,n
29,hotel,63,nc0s000,513,n
29,",",26,fc,514,n
29,por,70,sp000,515,n
29,$,23,zm,516,n
29,"3,627",75,dn0000,517,n
29,hostal,81,nc0s000,518,n
29,con,88,sp000,519,n
29,cenas,92,nc0p000,520,n
29,),97,nc0s000,521,n
30,¡,0,faa,522,n
30,Todo,1,di0000,523,o
30,México,6,np00000,524,o
30,a,13,sp000,525,s
30,París,15,np00000,526,d
30,",",20,fc,527,n
30,regresa,22,vmip000,528,n
30,desde,30,sp000,529,n
30,Amsterdam,36,np00000,530,n
30,–,46,fg,531,n
30,$,48,zm,532,n
30,"11,770",49,dn0000,533,p
30,!,55,fat,534,n
31,¡,0,faa,535,n
31,MTY,1,vmm0000,536,o
31,a,5,sp000,537,s
31,Cozumel,7,np00000,538,d
31,–,15,fg,539,n
31,$,17,zm,540,n
31,"1,518",18,dn0000,541,p
31,!,23,fat,542,n
31,(,25,z0,543,n
31,Por,26,sp000,544,n
31,$,17,zm,545,n
31,"1,230",31,dn0000,546,n
31,agrega,37,vmip000,547,n
31,3,34,dn0000,548,n
31,noches,46,nc0p000,549,n
31,de,53,sp000,550,n
31,hotel,56,nc0s000,551,n
31,),61,nc0s000,552,n
32,¡,0,faa,553,n
32,LA,1,pp000000,554,o
32,a,4,sp000,555,s
32,Bangkok,6,np00000,556,d
32,",",13,fc,557,d
32,Tailandia,15,np00000,558,d
32,–,25,fg,559,n
32,$,27,zm,560,n
32,"7,614",28,dn0000,561,p
32,!,33,fat,562,n
32,(,35,z0,563,n
32,Por,36,sp000,564,n
32,$,27,zm,565,n
32,"2,041",41,dn0000,566,n
32,agrega,47,vmip000,567,n
32,6,30,dn0000,568,n
32,noches,56,nc0p000,569,n
32,de,63,sp000,570,n
32,hotel,66,nc0s000,571,n
32,),71,nc0s000,572,n
33,¡,0,faa,573,n
33,GDL,1,np00000,574,o
33,a,5,sp000,575,s
33,Los,7,da0000,576,d
33,Cabos,11,np00000,577,d
33,$,17,zm,578,n
33,532,18,dn0000,579,p
33,!,21,fat,580,n
34,¡,0,faa,581,n
34,CDMX,1,np00000,582,o
34,y,6,cc,583,o
34,MTY,8,np00000,584,o
34,a,12,sp000,585,s
34,Vallarta,14,np00000,586,d
34,–,23,fg,587,n
34,$,25,nc0p000,588,n
34,751,26,z0,589,p
34,!,29,fat,590,n
34,(,31,z0,591,n
34,Por,32,sp000,592,n
34,$,25,zm,593,n
34,"2,458",37,dn0000,594,n
34,agrega,43,vmip000,595,n
34,4,39,dn0000,596,n
34,noches,52,nc0p000,597,n
34,de,59,sp000,598,n
34,hotel,62,nc0s000,599,n
34,",",38,fc,600,n
34,por,69,sp000,601,n
34,$,25,zm,602,n
34,"4,631",74,dn0000,603,n
34,todo,80,pi000000,604,n
34,incluido,85,aq0000,605,n
34,),93,nc0s000,606,n
35,¡,0,faa,607,n
35,CDMX,1,np00000,608,o
35,a,6,sp000,609,s
35,Vietnam,8,np00000,610,d
35,$,16,zm,611,n
35,"10,244",17,dn0000,612,p
35,!,23,fat,613,n
35,Sin,25,sp000,614,n
35,escala,29,nc0s000,615,n
35,en,36,sp000,616,n
35,EE.UU,39,np00000,617,n
35,(,45,nc0s000,618,n
35,Agrega,46,vmip000,619,n
35,15,53,dn0000,620,n
35,noches,56,nc0p000,621,n
35,de,63,sp000,622,n
35,hostal,66,nc0s000,623,n
35,por,73,sp000,624,n
35,$,16,zm,625,n
35,"2,082",78,dn0000,626,n
35,),83,nc0s000,627,n
36,¡,0,faa,628,n
36,CDMX,1,np00000,629,o
36,a,6,sp000,630,s
36,Singapur,8,np00000,631,d
36,$,17,zm,632,n
36,"10,477",18,dn0000,633,p
36,!,24,fat,634,n
36,Sin,8,sp000,635,n
36,escala,30,nc0s000,636,n
36,en,37,sp000,637,n
36,EE.UU,40,np00000,638,n
37,¡,0,faa,639,n
37,Los,1,da0000,640,o
37,Cabos,5,np00000,641,o
37,a,6,sp000,642,s
37,Hong,13,np00000,643,d
37,Kong,18,np00000,644,d
37,$,23,zm,645,n
37,"9,866",24,dn0000,646,p
37,!,29,fat,647,n
38,¡,0,faa,648,n
38,GDL,1,np00000,649,o
38,y,5,cc,650,o
38,CDMX,7,np00000,651,o
38,a,12,sp000,652,s
38,Alaska,14,np00000,653,d
38,$,21,zm,654,n
38,"9,457",22,dn0000,655,p
38,!,27,fat,656,n
38,Temporada,29,aq0000,657,n
38,de,39,sp000,658,n
38,Auroras,42,np00000,659,n
38,Boreales,50,np00000,660,n
39,¡,0,faa,661,n
39,CDMX,1,np00000,662,o
39,a,6,sp000,663,s
39,NYC,8,np00000,664,d
39,+,12,rg,665,d
39,Islandia,14,np00000,666,d
39,$,23,zm,667,n
39,"8,113",24,dn0000,668,p
39,!,29,fat,669,n
39,Directos,31,aq0000,670,n
39,(,40,nc0s000,671,n
39,Agrega,41,vmip000,672,n
39,7,48,dn0000,673,n
39,noches,50,nc0p000,674,n
39,de,57,sp000,675,n
39,hotel,60,nc0s000,676,n
39,por,66,sp000,677,n
39,$,23,zm,678,n
39,"4,767",71,dn0000,679,n
39,),76,nc0s000,680,n
40,¡,0,faa,681,n
40,CDMX,1,np00000,682,o
40,a,6,sp000,683,s
40,Europa,8,np00000,684,d
40,en,15,sp000,685,n
40,Semana,18,np00000,686,n
40,Santa,25,np00000,687,n
40,$,31,zm,688,n
40,"14,984",32,z0,689,p
40,!,38,fat,690,n
40,(,40,nc0s000,691,n
40,París,41,np00000,692,n
40,+,47,cc,693,n
40,Ibiza,49,np00000,694,n
40,+,47,cc,695,n
40,Venecia,57,vmip000,696,n
40,),64,nc0s000,697,n
41,¡,0,faa,698,n
41,Vallarta,1,np00000,699,o
41,a,2,sp000,700,s
41,Vancouver,12,np00000,701,d
41,$,22,zm,702,n
41,"4,447",23,dn0000,703,p
41,!,28,fat,704,n
41,Sin,30,sp000,705,n
41,escala,34,nc0s000,706,n
41,EE.UU,41,np00000,707,n
41,(,47,nc0s000,708,n
41,Agrega,48,vmip000,709,n
41,3,55,rg,710,n
41,noches,57,nc0p000,711,n
41,de,64,sp000,712,n
41,hotel,67,nc0s000,713,n
41,por,73,sp000,714,n
41,$,22,zm,715,n
41,"1,512",78,dn0000,716,n
41,),83,nc0s000,717,n
42,¡,0,faa,718,n
42,Vallarta,1,np00000,719,o
42,a,2,sp000,720,s
42,La,12,da0000,721,d
42,Habana,15,np00000,722,d
42,–,22,fg,723,n
42,$,24,zm,724,n
42,"2,875",25,dn0000,725,p
42,!,30,fat,726,n
42,(,32,z0,727,n
42,Por,33,sp000,728,n
42,$,24,zm,729,n
42,"1,634",38,dn0000,730,n
42,agrega,44,vmip000,731,n
42,3,41,dn0000,732,n
42,noches,53,nc0p000,733,n
42,de,60,sp000,734,n
42,hotel,63,nc0s000,735,n
42,con,69,sp000,736,n
42,desayunos,73,nc0p000,737,n
42,",",26,fc,738,n
42,por,84,sp000,739,n
42,$,24,zm,740,n
42,"3,336",89,dn0000,741,n
42,todo,95,pi000000,742,n
42,incluido,100,aq0000,743,n
42,),108,nc0s000,744,n
43,¡,0,faa,745,n
43,CUN,1,np00000,746,o
43,a,5,sp000,747,s
43,Inglaterra,7,np00000,748,d
43,$,18,zm,749,n
43,"9,051",19,dn0000,750,p
43,!,24,fat,751,n
43,Directos,26,aq0000,752,n
43,y,35,cc,753,n
43,en,37,sp000,754,n
43,Sem,40,np00000,755,n
43,.,43,fp,756,n
43,Santa,45,np00000,757,n
43,(,51,nc0s000,758,n
43,Agrega,52,vmip000,759,n
43,13,59,dn0000,760,n
43,noches,62,nc0p000,761,n
43,de,69,sp000,762,n
43,hotel,72,nc0s000,763,n
43,por,78,sp000,764,n
43,$,18,zm,765,n
43,"5,411",83,dn0000,766,n
43,),88,nc0s000,767,n
44,¡,0,faa,768,n
44,CDMX,1,np00000,769,o
44,a,6,sp000,770,s
44,Venecia,8,np00000,771,d
44,$,16,zm,772,n
44,"12,564",17,z0,773,p
44,!,23,fat,774,n
44,Sin,25,sp000,775,n
44,escala,29,nc0s000,776,n
44,en,9,sp000,777,n
44,EE.UU,39,np00000,778,n
44,(,45,nc0s000,779,n
44,Agrega,46,vmip000,780,n
44,8,53,dn0000,781,n
44,noches,55,nc0p000,782,n
44,de,62,sp000,783,n
44,hotel,65,nc0s000,784,n
44,por,71,sp000,785,n
44,$,16,zm,786,n
44,"4,015",76,dn0000,787,n
44,),81,nc0s000,788,n
45,¡,0,faa,789,n
45,CDMX,1,np00000,790,o
45,a,6,sp000,791,s
45,Phuket,8,np00000,792,d
45,",",14,fc,793,d
45,Tailandia,16,np00000,794,d
45,–,26,fg,795,n
45,$,28,zm,796,n
45,"12,413",29,z0,797,p
45,!,35,fat,798,n
45,(,37,z0,799,n
45,Por,38,sp000,800,n
45,$,28,zm,801,n
45,"3,028",43,dn0000,802,n
45,agrega,49,vmip000,803,n
45,5,56,dn0000,804,n
45,noches,58,nc0p000,805,n
45,de,65,sp000,806,n
45,hotel,68,nc0s000,807,n
45,con,74,sp000,808,n
45,desayunos,78,nc0p000,809,n
45,),87,nc0s000,810,n
46,¡,0,faa,811,n
46,CDMX,1,np00000,812,o
46,a,6,sp000,813,s
46,Orlando,8,np00000,814,d
46,–,16,fg,815,n
46,$,18,zm,816,n
46,"3,657",19,dn0000,817,p
46,!,24,fat,818,n
46,(,26,z0,819,n
46,Por,27,sp000,820,n
46,$,18,zm,821,n
46,"2,279",32,dn0000,822,n
46,agrega,38,vmip000,823,n
46,3,19,dn0000,824,n
46,noches,47,nc0p000,825,n
46,de,54,sp000,826,n
46,hotel,57,nc0s000,827,n
46,con,63,sp000,828,n
46,desayunos,67,nc0p000,829,n
46,cerca,77,rg,830,n
46,de,54,sp000,831,n
46,Universal,86,np00000,832,n
46,),95,f0,833,n
47,¡,0,faa,834,n
47,Tijuana,1,np00000,835,o
47,a,5,sp000,836,s
47,Beijing,11,np00000,837,d
47,$,19,zm,838,n
47,"10,989",20,z0,839,p
47,!,26,fat,840,n
47,Directos,28,aq0000,841,n
47,(,37,nc0s000,842,n
47,Agrega,38,vmip000,843,n
47,5,45,dn0000,844,n
47,noches,47,nc0p000,845,n
47,de,54,sp000,846,n
47,hotel,57,nc0s000,847,n
47,por,63,sp000,848,n
47,$,19,zm,849,n
47,"1,401",68,dn0000,850,n
47,),73,nc0s000,851,n
48,¡,0,faa,852,n
48,TIJ,1,vmm0000,853,o
48,a,5,sp000,854,s
48,Shanghái,7,np00000,855,d
48,$,16,zm,856,n
48,"11,315",17,z0,857,p
48,!,23,fat,858,n
48,Sem,25,np00000,859,n
48,.,28,fp,860,n
48,Santa,30,np00000,861,n
48,(,36,nc0s000,862,n
48,Agrega,37,vmip000,863,n
48,5,22,dn0000,864,n
48,noches,46,nc0p000,865,n
48,de,53,sp000,866,n
48,hotel,56,nc0s000,867,n
48,por,62,sp000,868,n
48,$,16,zm,869,n
48,"2,787",67,dn0000,870,n
48,),72,nc0s000,871,n
49,¡,0,faa,872,n
49,Todo,1,di0000,873,o
49,México,6,np00000,874,o
49,a,13,sp000,875,s
49,Israel,15,np00000,876,d
49,$,22,zm,877,n
49,"14,611",23,z0,878,p
49,!,29,fat,879,n
49,Sin,31,sp000,880,n
49,escala,35,nc0s000,881,n
49,EE.UU,42,np00000,882,n
49,(,48,nc0s000,883,n
49,Navidad,49,np00000,884,n
49,",",25,fc,885,n
49,Año,58,nc0s000,886,n
49,Nuevo,62,aq0000,887,n
49,y,68,cc,888,n
49,Sem,70,i,889,n
49,.,44,fc,890,n
49,Santa,75,np00000,891,n
49,),80,nc0s000,892,n
50,¡,0,faa,893,n
50,CUN,1,np00000,894,o
50,a,5,sp000,895,s
50,Bélgica,7,np00000,896,d
50,$,15,zm,897,n
50,"9,430",16,z0,898,p
50,!,21,fat,899,n
50,Directos,23,aq0000,900,n
51,¡,0,faa,901,n
51,Todo,1,di0000,902,o
51,México,6,np00000,903,o
51,a,13,sp000,904,s
51,Punta,15,np00000,905,d
51,Cana,21,np00000,906,d
51,$,26,zm,907,n
51,"4,324",27,dn0000,908,p
51,!,32,fat,909,n
